,,,,,Funnel step: Added to cart,Funnel step: Reached checkout page,Funnel step: purchase (also is considred conversion),
Blog Article,/blogs/articles/mothers-day-memories-part-1,2022-W19,111,137,3,0,0,74.45%
Custom Page,/pages/memorial-day,2022-W19,8,12,0,0,0,16.67%
Blog Article,/blogs/articles/pros-and-cons-of-raised-bed-vegetable-gardening,2022-W19,7,8,0,0,0,87.50%
Product,/products/frost-cover,2022-W19,229,247,3,0,0,62.35%
Collection,/collections/covers,2022-W19,1,1,0,0,0,100.00%
Search,/search,2022-W19,63,74,1,0,0,68.92%
Blog Article,/blogs/articles/5-best-raised-garden-beds-in-2021,2022-W19,7,7,1,0,0,57.14%
Checkout,/gift_cards/28622716963/38dc3c21cd1ad8bb3c52692fb8738b21,2022-W19,1,1,0,0,0,100.00%
Product,/products/17-tall-l-shaped-raised-garden-bed-kit-large-size,2022-W19,735,786,6,0,0,82.57%
Blog Article,/blogs/articles/how-to-get-rid-of-fruit-flies,2022-W19,1,1,0,0,0,0.00%
Blog Article,/blogs/articles/9-tips-for-successful-raised-garden-bed-gardening,2022-W19,30,31,0,0,0,80.65%
Blog Article,/blogs/articles/best-crops-to-grow-with-kids,2022-W19,2,2,0,0,0,100.00%
Custom Page,/pages/vego-garden-donation,2022-W19,1,1,0,0,0,100.00%
Blog Article,/blogs/articles/7-beginner-raised-bed-gardening-mistakes-to-avoid,2022-W19,11,13,0,0,0,92.31%
Custom Page,/pages/giving-back,2022-W19,1,1,0,0,0,100.00%
Customer Account,/account/addresses,2022-W19,1,1,0,0,0,0.00%
Blog Article,/blogs/articles/how-to-grow-onions,2022-W19,2,2,0,0,0,100.00%
Customer Account,/account/register,2022-W19,12,12,0,0,0,83.33%
Blog Article,/blogs/articles/how-to-grow-garlic,2022-W19,3,3,0,0,0,33.33%
Product,/products/rolling-planter-twin-pack,2022-W19,639,662,7,0,0,72.21%
Blog Article,/blogs/articles/wandering-jew-plant-care,2022-W19,15,16,0,0,0,100.00%
Blog Article,/blogs/articles/how-to-grow-basil,2022-W19,3,3,0,0,0,100.00%
Blog Article,/blogs/articles/vegetables-to-grow-in-winter,2022-W19,1,1,0,0,0,100.00%
Product,/products/vego-garden-bag,2022-W19,107,115,2,0,0,66.09%
Collection,/collections/vego-garden-diy-components/products,2022-W19,1,1,0,0,0,0.00%
Blog Article,/blogs/academy/mothers-day-memories-part-3,2022-W19,1,1,0,0,0,0.00%
Checkout,/gift_cards/28622716963/d5d42b08dbd8d2f4cde6faec4bc41f49,2022-W19,1,1,0,0,0,100.00%
Product,/products/vego-garden-sticker-kit,2022-W19,53,56,1,0,0,71.43%
Homepage,,2022-W20,41393,45506,1553,688,426,57.00%
Checkout,/checkouts,2022-W20,240,307,25,145,85,45.28%
Product,/products/vego-garden-6-in-1-modular-raised-garden-bed-kit,2022-W20,5405,6294,240,102,73,70.89%
Product,/products/9-in-1-modular-raised-garden-bed,2022-W20,2766,3392,154,86,57,69.07%
Collection,/collections/all,2022-W20,2908,3268,180,67,47,53.27%
Product,/products/32-extra-tall-9-in-1-modular-raised-garden-bed-kit,2022-W20,5487,6065,157,64,43,71.74%
Collection,/collections/garden-beds,2022-W20,32520,33329,91,39,27,92.27%
Custom Page,/pages/welcome-back,2022-W20,2244,2368,147,29,11,36.70%
Product,/products/10-in-1-modular-metal-raised-garden-bed-kit,2022-W20,2685,2991,80,27,19,69.61%
Product,/products/32-extra-tall-6-in-1-modular-raised-garden-bed-kit,2022-W20,2023,2287,67,25,18,69.48%
Product,/products/32-extra-tall-10-in-1-modular-raised-garden-bed-kit,2022-W20,2712,2954,83,22,13,73.73%
Product,/products/worm-farm-worm-composter,2022-W20,976,1108,35,15,9,76.62%
Cart,/cart,2022-W20,89,107,17,12,8,28.97%
Product,/products/17-tall-4-in-1-modular-metal-raised-garden-bed-kit,2022-W20,708,798,32,12,7,67.79%
Product,/products/17-tall-42-wide-round-metal-raised-garden-bed,2022-W20,1106,1252,28,11,9,73.48%
Collection,/collections/on-sale,2022-W20,594,657,29,10,9,63.01%
Product,/products/garden-arch-trellis,2022-W20,2991,3207,38,9,3,76.71%
Collection,/collections/best-sellers,2022-W20,193,243,20,9,7,61.32%
Product,/products/garden-bed-cover-systems,2022-W20,1650,1795,40,9,5,73.04%
Product,/products/17-inch-tall-kids-first-raised-bed,2022-W20,314,383,17,7,5,65.27%
Collection,/collections/special-shapes,2022-W20,4857,5089,95,6,3,72.14%
Collection,/collections/vego-garden-17-standard-kits,2022-W20,237,299,13,6,4,54.85%
Product,/products/32-extra-tall-4-in-1-modular-raised-garden-bed-kit,2022-W20,131,190,8,6,4,65.26%
Product,/products/cascading-raised-garden-bed-kit-standard-size,2022-W20,1229,1314,19,6,4,72.83%
Product,/products/17-tall-u-shaped-raised-garden-bed-kit-jumbo-size,2022-W20,1890,2028,29,6,3,74.21%
Product,/products/modular-wall-trellis-system,2022-W20,1289,1368,14,6,3,74.63%
Collection,/collections/extra-tall-32-raised-bed,2022-W20,236,327,13,5,4,59.63%
Product,/products/dragon-fruit-rolling-planter,2022-W20,686,737,11,5,1,73.41%
Product,/products/17-tall-u-shaped-raised-garden-bed-kit-standard-size,2022-W20,523,584,15,5,5,66.27%
Product,/products/herb-garden-24-wide-17-tall-twin-pack,2022-W20,463,493,13,5,4,78.09%
Customer Account,/account,2022-W20,63,84,7,5,4,64.29%
Product,/products/elevated-rolling-garden-bed,2022-W20,877,938,17,4,3,72.17%
Blog Article,/blogs/academy/metal-raised-garden-beds-vs-wood-raised-garden-beds,2022-W20,727,756,12,4,2,69.84%
Product,/products/17-tall-l-shaped-raised-garden-bed-kit-large-size,2022-W20,569,609,13,4,4,78.49%
App Generated,/apps/faq,2022-W20,341,398,6,4,3,63.32%
Custom Page,/pages/happy-customers,2022-W20,67,72,6,4,3,48.61%
Collection,/collections/add-ons,2022-W20,124,148,4,3,3,63.51%
Custom Page,/pages/welcome,2022-W20,184,196,5,3,2,59.18%
Customer Account,/account/login,2022-W20,110,138,9,3,3,36.23%
Custom Page,/pages/contact-us,2022-W20,262,322,4,2,1,70.50%
Product,/products/17-tall-vego-garden-2-ft-extension-kit,2022-W20,44,68,4,2,2,61.76%
Collection,/collections/herb-kids-gardens,2022-W20,7,7,2,2,1,28.57%
Blog Article,/blogs/articles/best-plants-to-grow-for-smoothie-lovers,2022-W20,244,262,3,2,1,83.21%
Checkout,/orders,2022-W20,884,1247,5,2,2,74.74%
Product,/products/32extra-tall-42-round-metal-garden-bed,2022-W20,340,400,8,2,1,72.00%
Blog Article,/blogs/articles/5-reasons-to-start-your-garden-in-the-winter,2022-W20,348,363,3,2,2,80.99%
List of Collections,/collections,2022-W20,56,56,2,2,2,37.50%
Product,/products/vego-garden-sticker-kit,2022-W20,48,49,4,2,2,63.27%
Product,/products/stainless-steel-gopher-net-staples-kit,2022-W20,348,400,4,2,1,81.00%
Custom Page,/pages/kids-program,2022-W20,48,56,2,2,1,66.07%
Product,/products/17-tall-u-shaped-raised-garden-bed-kit-large-size,2022-W20,372,391,4,2,1,74.94%
Product,/products/17-tall-l-shaped-raised-garden-bed-kit-standard-size,2022-W20,161,196,2,2,2,75.00%
Search,/search,2022-W20,58,66,3,1,1,56.06%
Blog Index,/blogs/articles,2022-W20,91,97,1,1,1,56.70%
Blog Article,/blogs/articles/mothers-day-memories-part-1,2022-W20,7,8,1,1,1,50.00%
Customer Account,/account/register,2022-W20,18,18,1,1,0,66.67%
Custom Page,/pages/vego-garden-special-features,2022-W20,36,41,1,1,0,65.85%
Custom Page,/pages/sustainability,2022-W20,14,15,1,1,1,60.00%
Blog Article,/blogs/articles/how-deep-should-raised-garden-beds-be,2022-W20,140,153,1,1,0,82.35%
Custom Page,/pages/design-galleries,2022-W20,101,113,4,1,1,64.60%
Collection,/collections/essentials,2022-W20,26,31,1,1,1,64.52%
Blog Article,/blogs/articles/8-excellent-reasons-to-use-raised-beds-in-your-garden,2022-W20,49,54,1,1,1,62.96%
Product,/products/vego-garden-bag,2022-W20,102,107,2,1,1,72.90%
Collection,/collections/rolling-beds,2022-W20,87,118,6,1,1,61.86%
Custom Page,/pages/feature-material,2022-W20,84,117,5,1,1,65.81%
Blog Article,/blogs/articles/how-to-grow-orchids,2022-W20,1,1,1,1,1,0.00%
Custom Page,/pages/about-vego,2022-W20,127,138,2,1,1,73.19%
Product,/products/vego-coffee-mug,2022-W20,122,146,6,1,0,76.03%
Blog Article,/blogs/articles/moss-haven-farm-x-vego-garden-a-story-of-greener-futures,2022-W20,258,285,6,1,0,82.46%
Blog Article,/blogs/academy/difference-between-garden-soil-and-raised-bed-soil,2022-W20,1170,1308,1,1,0,82.72%
Custom Page,/pages/vego-garden-mothers-day,2022-W20,3,7,1,0,0,28.57%
Checkout,/gift_cards/28622716963/05c825537ed064b4fb09e7ff205fd47b,2022-W20,1,1,0,0,0,100.00%
Blog Article,/blogs/articles/natural-pest-repellants-for-your-garden,2022-W20,3,3,0,0,0,100.00%
Blog Article,/blogs/articles/time-saving-tips-for-vegetable-gardeners,2022-W20,12,15,0,0,0,86.67%
Product,/products/frost-cover,2022-W20,329,343,8,0,0,65.89%
Blog Article,/blogs/articles/how-to-grow-garlic,2022-W20,48,52,0,0,0,90.38%
Custom Page,/pages/memorial-day-welcome,2022-W20,4,4,2,0,0,0.00%
Blog Article,/blogs/articles/easiest-vegetables-to-grow,2022-W20,5,5,0,0,0,40.00%
Custom Page,/pages/terms-of-service,2022-W20,9,9,0,0,0,88.89%
Blog Article,/blogs/articles/how-to-plant-asparagus,2022-W20,91,109,0,0,0,91.74%
Blog Article,/blogs/articles/the-best-raised-garden-bed-options-for-the-backyard,2022-W20,14,15,0,0,0,60.00%
Checkout,/gift_cards/28622716963/aac7e1dfa5abce335aa41ad93766b381,2022-W20,1,1,0,0,0,100.00%
Blog Article,/blogs/articles/7-beginner-raised-bed-gardening-mistakes-to-avoid,2022-W20,23,25,0,0,0,84.00%
Blog Article,/blogs/articles/early-spring-perennial-flowers,2022-W20,2,2,0,0,0,100.00%
Blog Article,/blogs/articles/raised-garden-bed-buying-guide,2022-W20,3,3,0,0,0,0.00%
Blog Article,/blogs/articles/best-vegetables-to-grow-in-early-spring,2022-W20,6,6,0,0,0,100.00%
Checkout,/gift_cards/28622716963/38dc3c21cd1ad8bb3c52692fb8738b21,2022-W20,1,1,0,0,0,100.00%
Blog Article,/blogs/articles/wandering-jew-plant-care,2022-W20,213,253,0,0,0,96.05%
Blog Article,/blogs/articles/unique-garden-themes-you-have-to-try,2022-W20,1,2,0,0,0,100.00%
Checkout,/gift_cards/28622716963/7d494f62f9899648c34725d4f8a27950,2022-W20,1,1,0,0,0,100.00%
Checkout,/gift_cards/28622716963/9594145bca1e74acabe2f16943bbe1fc,2022-W20,1,1,0,0,0,0.00%
Blog Article,/blogs/articles/how-to-grow-tomatoes,2022-W20,17,19,0,0,0,84.21%
Checkout,/gift_cards/28622716963/adfcd6b917aa286e4b698d36308742c9,2022-W20,1,1,0,0,0,100.00%
Blog Article,/blogs/articles/how-to-vermicompost-for-beginners,2022-W20,35,42,0,0,0,85.71%
Custom Page,/pages/new-products,2022-W20,8,8,0,0,0,50.00%
Blog Article,/blogs/articles/ideas-for-customizable-metal-raised-garden-beds,2022-W20,6,6,0,0,0,66.67%
Custom Page,/pages/memorial-day,2022-W20,7,9,0,0,0,11.11%
Collection,/collections/small-garden-collection,2022-W20,21,27,1,0,0,66.67%
Blog Article,/blogs/articles/how-to-get-rid-of-gnats,2022-W20,3,3,0,0,0,100.00%
Blog Article,/blogs/articles/how-to-grow-lemon-balm,2022-W20,24,26,0,0,0,88.46%
Blog Article,/blogs/articles/how-to-get-rid-of-fruit-flies,2022-W20,1,1,0,0,0,100.00%
Blog Article,/blogs/articles/9-tips-for-successful-raised-garden-bed-gardening,2022-W20,403,455,0,0,0,88.35%
Blog Article,/blogs/articles/best-crops-to-grow-with-kids,2022-W20,2,2,0,0,0,0.00%
Blog Article,/blogs/articles/how-to-plant-potatoes,2022-W20,146,169,0,0,0,93.49%
Blog Article,/blogs/articles/how-to-grow-onions,2022-W20,56,64,0,0,0,90.63%
Blog Article,/blogs/articles/mothers-day-memories-part-2,2022-W20,9,9,0,0,0,100.00%
Product,/products/rolling-planter-twin-pack,2022-W20,705,735,14,0,0,73.61%
Collection,/collections/17-tall-diy-components,2022-W20,1,1,0,0,0,0.00%
Blog Article,/blogs/articles/vegetables-to-grow-in-winter,2022-W20,7,8,0,0,0,62.50%
Blog Article,/blogs/articles/how-to-grow-brussels-sprouts,2022-W20,24,26,0,0,0,96.15%
Customer Account,/account/addresses,2022-W20,1,1,1,0,0,0.00%
Blog Article,/blogs/articles/when-to-start-seeds-for-vegetable-garden,2022-W20,4,4,0,0,0,50.00%
Custom Page,/pages/sms-tc,2022-W20,1,1,0,0,0,0.00%
Blog Article,/blogs/articles/how-to-grow-and-harvest-lettuce,2022-W20,54,66,0,0,0,92.42%
Custom Page,/pages/refer-and-earn,2022-W20,53,63,0,0,0,57.14%
Custom Page,/pages/our-story,2022-W20,1,1,0,0,0,100.00%
Blog Index,/blogs/academy,2022-W20,25,26,0,0,0,34.62%
Blog Article,/blogs/articles/what-to-know-before-building-a-raised-garden-bed,2022-W20,7,7,0,0,0,42.86%
Checkout,/gift_cards/28622716963/3412c50dcdbc7bda5e3cde48173826eb,2022-W20,1,2,0,0,0,100.00%
Custom Page,/pages/our-mission,2022-W20,1,1,0,0,0,0.00%
Product,/products/vego-garden-gift-card,2022-W20,23,25,0,0,0,92.00%
Blog Article,/blogs/articles/techniques-for-improving-soil-quality,2022-W20,465,511,5,0,0,82.39%
Checkout,/gift_cards/28622716963/5f19e79d599cabed4b28abc5fa14a11f,2022-W20,1,1,0,0,0,100.00%
Blog Article,/blogs/articles/7-tips-for-successful-raised-bed-gardening,2022-W20,11,12,0,0,0,83.33%
Blog Article,/blogs/articles/mothers-day-memories-part-3,2022-W20,46,60,0,0,0,76.67%
Blog Article,/blogs/articles/how-to-make-your-own-diy-greenhouse-cabinet,2022-W20,20,26,0,0,0,80.77%
Collection,/collections/new-arrivals,2022-W20,23,27,0,0,0,62.96%
Blog Article,/blogs/academy/why-is-aluzinc-steel-the-best-material-for-raised-garden-beds,2022-W20,32,33,1,0,0,75.76%
Blog Article,/blogs/articles/why-modular-garden-beds-are-the-new-trend,2022-W20,5,7,0,0,0,85.71%
Blog Article,/blogs/articles/pros-and-cons-of-raised-bed-vegetable-gardening,2022-W20,32,35,0,0,0,82.86%
Custom Page,/pages/design-gallery,2022-W20,292,335,6,0,0,62.09%
Blog Article,/blogs/articles/a-beginners-guide-to-zero-waste-living,2022-W20,2,2,0,0,0,50.00%
Collection,/collections/covers,2022-W20,1,1,0,0,0,100.00%
Blog Article,/blogs/articles/how-to-start-seeds-for-vegetable-garden,2022-W20,3,3,0,0,0,66.67%
Blog Article,/blogs/articles/10-sustainable-spring-gardening-tips,2022-W20,2,2,0,0,0,50.00%
Blog Article,/blogs/articles/the-best-ways-to-utilize-modular-garden-beds,2022-W20,4,4,0,0,0,75.00%
Blog Article,/blogs/articles/5-best-raised-garden-beds-in-2021,2022-W20,8,8,0,0,0,37.50%
Checkout,/gift_cards/28622716963/b6b1e575a3977baeee2c1571bb2f9840,2022-W20,1,1,0,0,0,100.00%
Blog Article,/blogs/articles/vermicomposting-what-are-earthworm-castings,2022-W20,5,5,0,0,0,100.00%
Blog Article,/blogs/articles/how-to-keep-your-produce-fresh-for-longer,2022-W20,1,2,0,0,0,100.00%
Collection,/collections/vego-garden-diy-components,2022-W20,10,13,1,0,0,38.46%
Custom Page,/pages/track-orders,2022-W20,12,14,0,0,0,50.00%
Custom Page,/pages/vego-garden-donation,2022-W20,5,5,0,0,0,60.00%
Custom Page,/pages/loyalty-program,2022-W20,2,2,0,0,0,0.00%
Custom Page,/pages/refund-policy,2022-W20,16,16,0,0,0,62.50%
Blog Article,/blogs/articles/do-raised-garden-beds-need-drainage,2022-W20,19,20,0,0,0,95.00%
Blog Article,/blogs/academy/how-much-soil-do-i-need-for-a-raised-garden-bed,2022-W20,274,312,0,0,0,83.65%
Custom Page,/pages/giving-back,2022-W20,5,7,0,0,0,57.14%
Blog Article,/blogs/articles/growing-mother-in-laws-tongue-plant,2022-W20,10,10,0,0,0,90.00%
Blog Article,/blogs/articles/how-to-compost-at-home-for-beginners,2022-W20,7,8,0,0,0,75.00%
Collection,/collections/composter,2022-W20,1,1,0,0,0,100.00%
Blog Article,/blogs/articles/why-is-everyone-obsessed-with-modular-garden-beds,2022-W20,3,3,0,0,0,33.33%
Blog Article,/blogs/academy/vego-garden-diy-ideas,2022-W20,66,68,0,0,0,69.12%
Blog Article,/blogs/articles/how-to-grow-basil,2022-W20,57,66,0,0,0,90.91%
Custom Page,/pages/why-we-are-the-best,2022-W20,2,2,0,0,0,0.00%
Blog Article,/blogs/academy/how-to-fill-raised-garden-beds-and-save-money,2022-W20,5634,6547,3,0,0,88.30%
Customer Account,/account/invalid_token,2022-W20,6,6,0,0,0,33.33%
Customer Account,/account/orders,2022-W20,10,19,0,0,0,73.68%
Checkout,/gift_cards/28622716963/f3485ed0ffe62ef1c8540b198a2bbbee,2022-W20,2,2,0,0,0,100.00%
Product,/products/connecting-rod-bag,2022-W20,252,272,4,0,0,71.32%
Custom Page,/pages/assembly,2022-W20,1,1,0,0,0,100.00%
Blog Article,/blogs/articles/how-to-build-a-raised-garden-bed-and-garden-boxes,2022-W20,56,57,0,0,0,63.16%
Collection,/collections/help-me-choose,2022-W20,103,127,1,0,0,67.72%
Blog Article,/blogs/articles/is-raised-bed-garden-environmentally-responsive-or-not,2022-W20,2,2,0,0,0,50.00%
Homepage,,2022-W21,46646,50612,1627,661,422,56.54%
Checkout,/checkouts,2022-W21,259,313,35,151,63,46.96%
Product,/products/vego-garden-6-in-1-modular-raised-garden-bed-kit,2022-W21,5278,6017,224,105,73,71.53%
Product,/products/9-in-1-modular-raised-garden-bed,2022-W21,2958,3619,153,76,45,69.88%
Custom Page,/pages/welcome-back,2022-W21,7748,8340,316,66,37,50.96%
Product,/products/32-extra-tall-9-in-1-modular-raised-garden-bed-kit,2022-W21,5510,6064,144,59,29,72.11%
Collection,/collections/all,2022-W21,2723,3154,122,44,32,63.54%
Product,/products/32-extra-tall-6-in-1-modular-raised-garden-bed-kit,2022-W21,2142,2385,86,37,25,70.73%
Product,/products/10-in-1-modular-metal-raised-garden-bed-kit,2022-W21,2823,3142,69,33,20,72.69%
Collection,/collections/garden-beds,2022-W21,25508,26327,87,31,17,91.02%
Product,/products/17-tall-42-wide-round-metal-raised-garden-bed,2022-W21,1249,1400,41,19,6,76.86%
Product,/products/32-extra-tall-10-in-1-modular-raised-garden-bed-kit,2022-W21,2255,2511,44,14,7,73.91%
Product,/products/garden-arch-trellis,2022-W21,2374,2590,30,12,7,74.98%
Product,/products/worm-farm-worm-composter,2022-W21,909,1010,28,12,8,75.45%
Product,/products/17-tall-4-in-1-modular-metal-raised-garden-bed-kit,2022-W21,735,837,29,11,9,65.83%
Collection,/collections/on-sale,2022-W21,500,580,31,11,9,59.14%
Cart,/cart,2022-W21,69,94,8,9,7,37.23%
Collection,/collections/extra-tall-32-raised-bed,2022-W21,240,313,20,9,3,59.11%
Product,/products/garden-bed-cover-systems,2022-W21,2003,2184,34,8,4,73.90%
Custom Page,/pages/happy-customers,2022-W21,302,348,9,8,7,67.53%
Checkout,/orders,2022-W21,1316,1935,16,7,2,76.74%
Product,/products/rolling-planter-twin-pack,2022-W21,970,1020,8,7,5,74.90%
Collection,/collections/special-shapes,2022-W21,2837,2932,43,6,3,68.89%
Customer Account,/account/login,2022-W21,105,122,6,6,4,35.25%
Product,/products/17-inch-tall-kids-first-raised-bed,2022-W21,303,367,20,5,2,65.40%
Product,/products/17-tall-u-shaped-raised-garden-bed-kit-jumbo-size,2022-W21,2271,2393,31,5,3,74.89%
Custom Page,/pages/design-gallery,2022-W21,344,377,11,5,4,55.44%
Product,/products/cascading-raised-garden-bed-kit-standard-size,2022-W21,1164,1242,28,5,4,74.64%
Collection,/collections/vego-garden-17-standard-kits,2022-W21,228,298,17,5,3,55.37%
Blog Article,/blogs/academy/how-to-fill-raised-garden-beds-and-save-money,2022-W21,4328,5103,8,4,0,87.40%
Collection,/collections/best-sellers,2022-W21,152,178,5,4,3,62.36%
Product,/products/17-tall-u-shaped-raised-garden-bed-kit-standard-size,2022-W21,488,527,8,4,1,68.31%
Product,/products/17-tall-vego-garden-2-ft-extension-kit,2022-W21,58,73,4,3,1,61.64%
Product,/products/elevated-rolling-garden-bed,2022-W21,640,685,8,3,2,78.39%
Blog Article,/blogs/academy/metal-raised-garden-beds-vs-wood-raised-garden-beds,2022-W21,782,834,12,3,2,69.06%
Product,/products/herb-garden-24-wide-17-tall-twin-pack,2022-W21,570,622,5,3,2,78.46%
Product,/products/32extra-tall-42-round-metal-garden-bed,2022-W21,311,360,8,3,1,69.17%
Product,/products/17-tall-l-shaped-raised-garden-bed-kit-standard-size,2022-W21,148,169,6,3,3,70.41%
Product,/products/vego-garden-gift-card,2022-W21,13,13,1,2,1,61.54%
List of Collections,/collections,2022-W21,48,48,3,2,2,33.33%
Custom Page,/pages/kids-program,2022-W21,71,80,2,2,1,70.00%
Custom Page,/pages/contact-us,2022-W21,222,281,2,2,2,69.40%
Collection,/collections/vego-garden-diy-components,2022-W21,10,10,1,2,2,30.00%
Blog Article,/blogs/articles/techniques-for-improving-soil-quality,2022-W21,351,429,5,2,2,79.02%
Collection,/collections/small-garden-collection,2022-W21,28,39,4,2,2,71.79%
Product,/products/connecting-rod-bag,2022-W21,263,292,2,2,1,68.15%
Custom Page,/pages/welcome,2022-W21,634,646,7,2,1,67.96%
Custom Page,/pages/refer-and-earn,2022-W21,46,49,2,2,0,51.02%
Collection,/collections/add-ons,2022-W21,109,129,4,2,2,72.87%
Product,/products/vego-garden-sticker-kit,2022-W21,47,47,3,2,2,68.09%
Blog Index,/blogs/academy,2022-W21,32,36,1,1,1,33.33%
Product,/products/dragon-fruit-rolling-planter,2022-W21,699,755,10,1,0,73.25%
Custom Page,/pages/feature-material,2022-W21,77,112,5,1,1,75.89%
Blog Article,/blogs/articles/how-to-grow-orchids,2022-W21,314,351,3,1,1,87.18%
Product,/products/modular-wall-trellis-system,2022-W21,1189,1274,16,1,0,77.63%
Product,/products/vego-garden-bag,2022-W21,64,73,2,1,1,68.49%
App Generated,/apps/faq,2022-W21,343,421,4,1,1,65.56%
Collection,/collections/help-me-choose,2022-W21,33,59,2,1,1,81.36%
Collection,/collections/rolling-beds,2022-W21,80,95,1,1,1,58.95%
Product,/products/17-tall-u-shaped-raised-garden-bed-kit-large-size,2022-W21,283,305,1,1,0,70.49%
Product,/products/32-extra-tall-4-in-1-modular-raised-garden-bed-kit,2022-W21,144,173,6,1,0,71.10%
Collection,/collections/essentials,2022-W21,21,28,1,1,1,60.71%
Product,/products/vego-coffee-mug,2022-W21,84,91,2,1,1,70.33%
Product,/products/17-tall-l-shaped-raised-garden-bed-kit-large-size,2022-W21,569,613,6,1,1,83.20%
Custom Page,/pages/sms-tc,2022-W21,1,1,0,0,0,100.00%
Custom Page,/pages/about-vego,2022-W21,81,94,0,0,0,61.70%
Blog Article,/blogs/articles/growing-mother-in-laws-tongue-plant,2022-W21,17,23,0,0,0,91.30%
Blog Article,/blogs/academy/vego-garden-diy-ideas,2022-W21,56,60,0,0,0,71.67%
Blog Article,/blogs/articles/guide-to-growing-artichokes,2022-W21,1,1,0,0,0,100.00%
Blog Article,/blogs/articles/unique-garden-themes-you-have-to-try,2022-W21,4,4,0,0,0,75.00%
Blog Article,/blogs/articles/how-to-grow-brussels-sprouts,2022-W21,8,9,0,0,0,100.00%
Blog Article,/blogs/articles/how-to-grow-and-harvest-lettuce,2022-W21,51,55,0,0,0,92.73%
Search,/search,2022-W21,39,42,3,0,0,47.62%
Blog Article,/blogs/articles/how-to-keep-your-produce-fresh-for-longer,2022-W21,1,2,0,0,0,100.00%
Blog Article,/blogs/articles/how-to-build-a-raised-garden-bed-and-garden-boxes,2022-W21,58,60,0,0,0,73.33%
Blog Article,/blogs/articles/best-vegetables-to-grow-in-early-spring,2022-W21,6,7,0,0,0,71.43%
Blog Article,/blogs/articles/mothers-day-memories-part-2,2022-W21,1,1,0,0,0,100.00%
Custom Page,/pages/our-story,2022-W21,1,1,0,0,0,100.00%
Custom Page,/pages/our-mission,2022-W21,3,3,0,0,0,100.00%
Blog Article,/blogs/articles/raised-garden-bed-buying-guide,2022-W21,3,4,0,0,0,0.00%
Blog Article,/blogs/articles/pros-and-cons-of-raised-bed-vegetable-gardening,2022-W21,23,25,0,0,0,80.00%
Blog Article,/blogs/articles/the-best-ways-to-utilize-modular-garden-beds,2022-W21,4,4,0,0,0,50.00%
Blog Article,/blogs/articles/the-best-raised-garden-bed-options-for-the-backyard,2022-W21,20,20,0,0,0,85.00%
Blog Article,/blogs/academy/difference-between-garden-soil-and-raised-bed-soil,2022-W21,873,968,1,0,0,83.16%
Blog Article,/blogs/articles/8-excellent-reasons-to-use-raised-beds-in-your-garden,2022-W21,29,32,0,0,0,81.25%
Custom Page,/pages/loyalty-program,2022-W21,1,1,0,0,0,100.00%
Custom Page,/pages/vego-garden-donation,2022-W21,5,5,0,0,0,40.00%
Blog Article,/blogs/articles/7-beginner-raised-bed-gardening-mistakes-to-avoid,2022-W21,13,15,0,0,0,80.00%
Custom Page,/pages/refund-policy,2022-W21,13,13,0,0,0,69.23%
Blog Article,/blogs/articles/wandering-jew-plant-care,2022-W21,118,143,0,0,0,90.91%
Collection,/collections/herb-kids-gardens,2022-W21,6,8,0,0,0,62.50%
Checkout,/gift_cards/28622716963/7a983c876d4b4b00d6f34819d0e61fb3,2022-W21,2,2,0,0,0,50.00%
Checkout,/gift_cards/28622716963/48eb32dca7f0a625fe0654f678a269d2,2022-W21,1,1,0,0,0,0.00%
Blog Article,/blogs/articles/vego-garden-special-shapes,2022-W21,1,1,0,0,0,100.00%
Blog Index,/blogs/articles,2022-W21,67,82,0,0,0,47.56%
Blog Article,/blogs/articles/how-to-make-your-own-diy-greenhouse-cabinet,2022-W21,2,2,0,0,0,50.00%
Blog Article,/blogs/academy/why-is-aluzinc-steel-the-best-material-for-raised-garden-beds,2022-W21,37,41,0,0,0,68.29%
Blog Article,/blogs/articles/5-reasons-to-start-your-garden-in-the-winter,2022-W21,532,545,0,0,0,84.95%
Blog Article,/blogs/articles/5-best-raised-garden-beds-in-2021,2022-W21,4,4,0,0,0,50.00%
Custom Page,/pages/track-orders,2022-W21,14,15,0,0,0,53.33%
Customer Account,/account/register,2022-W21,15,15,0,0,0,60.00%
Blog Article,/blogs/articles/how-to-grow-lemon-balm,2022-W21,14,16,0,0,0,93.75%
Blog Article,/blogs/articles/9-tips-for-successful-raised-garden-bed-gardening,2022-W21,326,362,2,0,0,82.60%
Blog Article,/blogs/articles/how-to-grow-onions,2022-W21,29,36,0,0,0,94.44%
Blog Article,/blogs/articles/spend-mother-s-day-in-your-garden,2022-W21,3,5,0,0,0,80.00%
Collection,/collections/17-tall-diy-components,2022-W21,1,1,0,0,0,100.00%
Blog Article,/blogs/articles/how-to-grow-basil,2022-W21,30,38,0,0,0,89.47%
Custom Page,/pages/why-we-are-the-best,2022-W21,2,3,0,0,0,66.67%
Customer Account,/account,2022-W21,53,63,3,0,0,50.79%
Blog Article,/blogs/articles/is-raised-bed-garden-environmentally-responsive-or-not,2022-W21,4,4,0,0,0,50.00%
Blog Article,/blogs/articles/when-to-start-seeds-for-vegetable-garden,2022-W21,1,1,0,0,0,0.00%
Blog Article,/blogs/articles/how-to-grow-tomatoes,2022-W21,5,5,0,0,0,80.00%
